City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Port Macquarie,AU,2022-01-30 01:54:52,-31.4333,152.9167,81.9,62,26,8.19
160,Simao,CN,2022-01-30 01:54:52,22.7886,100.9748,56.89,39,0,1.28
161,Dali,CN,2022-01-30 01:54:52,25.7,100.1833,45.19,49,0,1.12
162,Vostok,RU,2022-01-30 01:54:53,46.4856,135.8833,-4.04,84,79,3.33
163,Magadan,RU,2022-01-30 01:54:53,59.5667,150.8,19.24,76,100,15.3
164,Chuy,UY,2022-01-30 01:54:53,-33.6971,-53.4616,65.05,79,0,6.8
165,Hutchinson,US,2022-01-30 01:53:44,38.0608,-97.9298,48.34,50,0,1.01
166,New Norfolk,AU,2022-01-30 01:54:54,-42.7826,147.0587,78.66,37,0,1.99
167,Hilo,US,2022-01-30 01:52:39,19.7297,-155.09,76.24,71,0,4.0
168,Kawalu,ID,2022-01-30 01:54:55,-7.3817,108.2082,80.13,80,100,0.81
169,Belchatow,PL,2022-01-30 01:54:55,51.3688,19.3567,40.98,84,82,28.14
170,Tura,IN,2022-01-30 01:54:55,25.5198,90.2201,55.51,56,0,0.96
171,Grand-Santi,GF,2022-01-30 01:54:56,4.25,-54.3833,70.61,98,16,2.55
172,Narsaq,GL,2022-01-30 01:54:56,60.9167,-46.05,13.48,93,100,12.17
173,Ashcroft,CA,2022-01-30 01:54:56,50.7165,-121.2859,48.54,98,100,2.55
174,Mehamn,NO,2022-01-30 01:54:57,71.0357,27.8492,17.4,83,78,3.85
175,Shulan,CN,2022-01-30 01:54:57,44.4167,126.95,7.32,85,17,8.52
176,Lufilufi,WS,2022-01-30 01:54:57,-13.8745,-171.5986,91.18,72,63,13.69
177,Moose Factory,CA,2022-01-30 01:54:58,51.2585,-80.6094,-5.8,84,100,4.61
178,Dahanu,IN,2022-01-30 01:54:58,19.9667,72.7333,65.68,42,5,5.99
179,Zhuanghe,CN,2022-01-30 01:54:59,39.7008,122.9911,26.04,31,0,4.74
180,Bubaque,GW,2022-01-30 01:54:59,11.2833,-15.8333,78.35,63,36,12.06
181,Castro,BR,2022-01-30 01:54:59,-24.7911,-50.0119,59.85,99,99,5.97
182,Seoul,KR,2022-01-30 01:55:00,37.5683,126.9778,27.01,43,0,3.44
183,Bethel,US,2022-01-30 01:56:00,41.3712,-73.414,17.49,58,100,7.0
184,Pangnirtung,CA,2022-01-30 01:56:00,66.1451,-65.7125,-19.75,99,100,4.23
185,Erenhot,CN,2022-01-30 01:56:01,43.6475,111.9767,9.91,91,100,10.94
186,Walvis Bay,NA,2022-01-30 01:56:01,-22.9575,14.5053,62.1,94,54,10.36
187,Penukonda,IN,2022-01-30 01:56:01,14.0833,77.5833,66.42,77,19,3.13
188,Puerto Penasco,MX,2022-01-30 01:56:02,31.3167,-113.5333,61.92,57,3,1.99
189,Shellbrook,CA,2022-01-30 01:56:02,53.2168,-106.4011,15.03,99,90,4.92
190,Hithadhoo,MV,2022-01-30 01:56:03,-0.6,73.0833,80.8,68,43,3.24
191,Ostrovnoy,RU,2022-01-30 01:56:03,68.0531,39.5131,16.68,90,100,11.48
192,Bathsheba,BB,2022-01-30 01:56:04,13.2167,-59.5167,77.61,73,75,17.27
193,Fukue,JP,2022-01-30 01:56:04,32.6881,128.8419,48.56,46,75,9.22
194,Bambous Virieux,MU,2022-01-30 01:56:05,-20.3428,57.7575,79.05,78,20,3.44
195,Hermanus,ZA,2022-01-30 01:56:05,-34.4187,19.2345,65.8,86,1,11.21
196,Rawson,AR,2022-01-30 01:56:05,-43.3002,-65.1023,79.09,35,35,10.36
197,Ambilobe,MG,2022-01-30 01:56:06,-13.2,49.05,74.25,92,100,1.01
198,Beloha,MG,2022-01-30 01:56:06,-25.1667,45.05,71.35,89,47,9.22
199,Gisborne,NZ,2022-01-30 01:56:06,-38.6533,178.0042,76.95,63,7,7.4
200,Lopukhiv,UA,2022-01-30 01:56:07,48.3653,23.9638,23.92,96,100,7.25
201,Port Keats,AU,2022-01-30 01:56:07,-14.25,129.55,84.15,79,99,19.13
202,Laguna,US,2022-01-30 01:52:36,38.421,-121.4238,59.09,55,0,4.61
203,Beverwijk,NL,2022-01-30 01:56:07,52.4827,4.6547,46.35,70,13,3.0
204,Bom Jesus Da Lapa,BR,2022-01-30 01:56:08,-13.255,-43.4181,69.17,93,100,4.81
205,Nishihara,JP,2022-01-30 01:56:08,26.1842,127.7558,65.86,82,75,12.66
206,Wanxian,CN,2022-01-30 01:56:08,30.8039,108.3897,45.55,74,81,2.1
207,Panzhihua,CN,2022-01-30 01:56:09,26.5851,101.7128,49.64,44,0,0.81
208,Copiapo,CL,2022-01-30 01:56:09,-27.3667,-70.3333,63.63,74,0,2.84
209,Brody,UA,2022-01-30 01:56:10,50.0879,25.1503,32.68,95,100,25.26
210,Victoria,HK,2022-01-30 01:53:55,22.2855,114.1577,59.25,77,58,1.01
211,Nata,PA,2022-01-30 01:56:10,8.3333,-80.5167,76.87,80,11,9.86
212,Balurghat,IN,2022-01-30 01:56:10,25.2167,88.7667,55.58,56,0,3.71
213,Singleton,AU,2022-01-30 01:56:11,-32.5667,151.1833,83.26,69,41,7.76
214,Lahaina,US,2022-01-30 01:56:11,20.8783,-156.6825,77.81,71,18,9.01
215,Prince Rupert,CA,2022-01-30 01:54:21,54.3161,-130.3201,41.09,93,100,2.3
216,Uong Bi,VN,2022-01-30 01:56:12,21.0333,106.7833,57.18,78,100,1.43
217,Moi,NO,2022-01-30 01:56:12,58.4567,6.5518,42.28,71,84,33.06
218,Nanortalik,GL,2022-01-30 01:56:13,60.1432,-45.2371,20.1,68,100,26.96
219,Salalah,OM,2022-01-30 01:51:55,17.0151,54.0924,68.09,59,86,2.77
220,Bud,US,2022-01-30 01:56:13,39.447,-86.1758,23.22,65,94,7.25
221,Kununurra,AU,2022-01-30 01:54:48,-15.7667,128.7333,82.38,89,75,14.97
222,Odessa,UA,2022-01-30 01:56:13,46.4775,30.7326,24.73,80,0,8.95
223,Ponta Do Sol,PT,2022-01-30 01:56:14,32.6667,-17.1,63.23,48,9,5.82
224,Tuskegee,US,2022-01-30 01:57:14,32.424,-85.6916,32.41,63,0,3.6
225,Bowen,AU,2022-01-30 01:57:14,-20.0167,148.2333,84.42,59,2,14.38
226,Lagoa,PT,2022-01-30 01:57:15,39.05,-27.9833,58.08,72,8,14.97
227,Kolosovka,RU,2022-01-30 01:57:15,56.4678,73.611,5.58,86,100,10.36
228,Kangaatsiaq,GL,2022-01-30 01:57:15,68.3065,-53.4641,5.68,77,100,21.83
229,Hay River,CA,2022-01-30 01:57:16,60.8156,-115.7999,-4.02,77,100,9.22
230,Alice Springs,AU,2022-01-30 01:57:16,-23.7,133.8833,78.35,83,75,19.57
231,Paso De Carrasco,UY,2022-01-30 01:57:17,-34.8603,-56.0522,73.54,68,0,8.05
232,Leua,SK,2022-01-30 01:57:17,48.2156,18.6071,41.22,82,96,19.69
233,Biak,ID,2022-01-30 01:57:17,-0.9131,122.8766,82.35,67,100,1.03
234,Winnemucca,US,2022-01-30 01:57:18,40.973,-117.7357,32.11,40,29,1.14
235,Hot Springs,US,2022-01-30 01:55:56,34.5037,-93.0552,42.76,53,0,4.21
236,Tiksi,RU,2022-01-30 01:57:18,71.6872,128.8694,-9.62,98,51,4.14
237,Eydhafushi,MV,2022-01-30 01:57:18,5.1033,73.0708,82.2,67,59,15.05
238,Cockburn Town,TC,2022-01-30 01:53:15,21.4612,-71.1419,76.96,73,40,11.5
239,Newport,GB,2022-01-30 01:52:50,51.5877,-2.9984,42.46,88,21,5.26
240,Portland,US,2022-01-30 01:55:28,45.5234,-122.6762,47.25,65,100,5.01
241,Yeppoon,AU,2022-01-30 01:57:19,-23.1333,150.7333,83.98,70,47,16.22
242,Fortuna,US,2022-01-30 01:57:19,40.5982,-124.1573,52.92,84,0,0.0
243,Kavieng,PG,2022-01-30 01:57:20,-2.5744,150.7967,82.94,74,100,5.12
244,Upernavik,GL,2022-01-30 01:57:20,72.7868,-56.1549,-4.07,99,100,7.14
245,Altay,CN,2022-01-30 01:57:21,47.8667,88.1167,2.1,54,85,6.73
246,Irbeyskoye,RU,2022-01-30 01:57:21,55.6428,95.4522,-16.37,99,40,2.59
247,Richards Bay,ZA,2022-01-30 01:57:21,-28.783,32.0377,68.86,88,3,1.63
248,Ketrzyn,PL,2022-01-30 01:57:22,54.0768,21.3753,35.49,93,100,26.73
249,Orbetello,IT,2022-01-30 01:57:22,42.4408,11.2196,49.24,69,0,3.62
250,Stolin,BY,2022-01-30 01:57:22,51.8912,26.846,32.95,97,100,19.28
251,San Andres,CO,2022-01-30 01:57:23,12.5847,-81.7006,80.62,65,20,11.5
252,Gafargaon,BD,2022-01-30 01:57:23,24.4333,90.5667,55.38,56,0,2.39
253,Taft,IR,2022-01-30 01:57:23,31.7471,54.2088,33.75,38,20,6.91
254,Novo Aripuana,BR,2022-01-30 01:57:24,-5.1206,-60.3797,71.74,100,100,0.96
255,Bada,RU,2022-01-30 01:57:24,51.392,109.8717,-8.05,96,90,2.35
256,Ozernovskiy,RU,2022-01-30 01:57:24,51.5,156.5167,26.11,92,100,20.92
257,Vesyegonsk,RU,2022-01-30 01:57:25,58.664,37.2604,15.64,96,100,6.87
258,Kargil,IN,2022-01-30 01:57:25,34.5667,76.1,-11.0,95,98,3.04
259,Phonhong,LA,2022-01-30 01:57:25,18.5007,102.4166,71.42,47,12,0.36
260,General Pico,AR,2022-01-30 01:57:26,-35.6566,-63.7568,71.29,55,0,9.15
261,Tortoli,IT,2022-01-30 01:57:26,39.9256,9.6572,47.21,42,42,5.53
262,Acari,PE,2022-01-30 01:57:26,-15.4311,-74.6158,71.89,78,99,4.56
263,Ancud,CL,2022-01-30 01:57:27,-41.8697,-73.8203,56.73,90,100,10.51
264,Marawi,PH,2022-01-30 01:57:27,7.9986,124.2928,73.65,69,81,2.62
265,Grimshaw,CA,2022-01-30 01:57:27,56.1834,-117.6027,28.02,86,75,5.75
266,Belaya Kholunitsa,RU,2022-01-30 01:57:28,58.84,50.8528,7.83,96,99,5.99
267,Kortkeros,RU,2022-01-30 01:57:28,61.8106,51.5806,10.4,94,100,5.26
268,Mayo,US,2022-01-30 01:57:28,38.8876,-76.5119,23.34,43,0,8.99
269,Palmer,US,2022-01-30 01:56:29,42.1584,-72.3287,13.5,73,100,3.0
270,Elban,RU,2022-01-30 01:57:29,50.1018,136.5094,-12.78,95,97,3.83
271,Emba,KZ,2022-01-30 01:57:29,48.8264,58.1442,10.58,98,95,7.29
272,Idrinskoye,RU,2022-01-30 01:57:29,54.3708,92.1358,-15.93,100,69,2.82
273,Sahuaripa,MX,2022-01-30 01:58:30,29.05,-109.2333,63.57,36,0,2.13
274,Changying,CN,2022-01-30 01:58:30,52.8733,123.3213,1.04,73,30,6.58
275,Yerbogachen,RU,2022-01-30 01:58:30,61.2767,108.0108,-7.73,98,100,3.56
276,Bairiki,KI,2022-01-30 01:58:31,1.3292,172.9752,81.95,78,24,16.53
277,Charlestown,AU,2022-01-30 01:58:31,-32.95,151.6667,83.57,71,92,4.0
278,Margate,GB,2022-01-30 01:53:38,51.3813,1.3862,43.75,76,46,5.99
279,Rio Gallegos,AR,2022-01-30 01:58:32,-51.6226,-69.2181,48.25,93,75,9.22
280,Sol-Iletsk,RU,2022-01-30 01:58:32,51.1631,54.9918,17.65,96,98,9.42
281,Cayenne,GF,2022-01-30 01:58:32,4.9333,-52.3333,79.09,85,75,3.0
282,Pokosnoye,RU,2022-01-30 01:58:33,55.5258,101.0536,-20.52,100,100,2.08
283,Pilot Butte,CA,2022-01-30 01:58:33,50.4668,-104.4178,15.53,88,20,5.75
284,Itacare,BR,2022-01-30 01:58:33,-14.2775,-38.9967,75.09,89,100,6.49
285,Chernyshevskiy,RU,2022-01-30 01:58:34,63.0128,112.4714,-21.75,100,33,3.18
286,Kodiak,US,2022-01-30 01:58:25,57.79,-152.4072,26.24,79,10,11.56
287,Huilong,CN,2022-01-30 01:58:34,31.8111,121.655,42.04,61,86,13.49
288,Mecca,SA,2022-01-30 01:58:34,21.4267,39.8261,65.77,58,90,5.5
