City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
494,Yachimata,35.65,140.3167,49.8,25,20,16.11,JP,2022-01-31 06:47:43,few clouds
495,Kristiinankaupunki,62.2743,21.376,15.33,91,89,12.44,FI,2022-01-31 06:47:44,overcast clouds
496,Mountain Home,43.133,-115.6912,27.79,100,75,21.85,US,2022-01-31 06:43:27,broken clouds
497,Chapais,49.7834,-74.8492,-15.02,100,100,2.91,CA,2022-01-31 06:47:45,overcast clouds
498,Prince Rupert,54.3161,-130.3201,37.09,93,100,4.61,CA,2022-01-31 06:45:17,light rain
499,Pingyin,36.2831,116.4453,42.1,15,0,15.68,CN,2022-01-31 06:48:45,clear sky
500,Anqing,30.5092,117.0506,45.72,56,100,4.54,CN,2022-01-31 06:48:46,light rain
501,Sakakah,29.9697,40.2064,51.37,43,100,17.47,SA,2022-01-31 06:48:47,overcast clouds
502,Trincomalee,8.5711,81.2335,81.99,66,94,11.79,LK,2022-01-31 06:48:47,overcast clouds
503,Macau,22.2006,113.5461,57.92,67,40,19.57,MO,2022-01-31 06:48:48,scattered clouds
504,Tacna,-18.0056,-70.2483,62.65,85,72,1.74,PE,2022-01-31 06:48:48,broken clouds
505,Lamu,-2.2717,40.902,82.62,70,80,8.66,KE,2022-01-31 06:48:48,broken clouds
506,Elliot,-31.3333,27.85,73.89,53,85,5.12,ZA,2022-01-31 06:48:49,overcast clouds
507,Rio Gallegos,-51.6226,-69.2181,46.45,66,0,13.8,AR,2022-01-31 06:48:49,clear sky
508,Karratha,-20.7377,116.8463,92.86,51,100,22.41,AU,2022-01-31 06:48:50,overcast clouds
509,Waltershausen,50.9,10.5667,36.23,93,100,18.59,DE,2022-01-31 06:48:50,snow
510,Kargil,34.5667,76.1,15.35,83,100,2.13,IN,2022-01-31 06:48:50,overcast clouds
511,Iskateley,67.6803,53.1512,10.31,94,100,11.27,RU,2022-01-31 06:48:51,overcast clouds
512,Jacqueville,5.2052,-4.4146,78.71,83,78,3.67,CI,2022-01-31 06:48:51,broken clouds
513,Cimislia,46.52,28.7842,40.64,68,21,10.74,MD,2022-01-31 06:48:51,light rain
514,Hokitika,-42.7167,170.9667,66.45,65,98,3.51,NZ,2022-01-31 06:48:52,overcast clouds
515,Safaga,26.7292,33.9365,53.55,38,0,10.69,EG,2022-01-31 06:48:52,clear sky
516,Namatanai,-3.6667,152.4333,83.05,76,53,4.7,PG,2022-01-31 06:48:53,light rain
517,Husavik,66.0449,-17.3389,21.11,66,100,13.62,IS,2022-01-31 06:48:53,overcast clouds
518,Basco,20.4487,121.9702,70.43,72,100,26.17,PH,2022-01-31 06:48:53,overcast clouds
519,Flin Flon,54.7682,-101.865,4.08,97,91,5.44,CA,2022-01-31 06:46:11,overcast clouds
520,Ginir,7.1333,40.7,66.78,21,99,6.64,ET,2022-01-31 06:48:54,overcast clouds
521,Da Nang,16.0678,108.2208,71.58,88,75,9.22,VN,2022-01-31 06:47:50,broken clouds
522,La Cruz,23.9167,-106.9,62.91,58,11,5.53,MX,2022-01-31 06:48:54,few clouds
523,Carutapera,-1.195,-46.02,73.29,95,100,3.62,BR,2022-01-31 06:48:54,light rain
524,Sao Filipe,14.8961,-24.4956,71.49,75,100,13.02,CV,2022-01-31 06:48:55,overcast clouds
525,Ulladulla,-35.35,150.4667,79.88,79,76,10.38,AU,2022-01-31 06:48:55,light rain
526,Palmer,42.1584,-72.3287,10.02,81,75,3.44,US,2022-01-31 06:48:56,broken clouds
527,Los Llanos De Aridane,28.6585,-17.9182,56.95,65,0,8.99,ES,2022-01-31 06:48:56,clear sky
528,Aklavik,68.2191,-135.0107,4.03,82,100,12.35,CA,2022-01-31 06:48:56,overcast clouds
529,Naron,43.5167,-8.1528,47.05,84,8,9.48,ES,2022-01-31 06:48:57,clear sky
530,Hit,33.6416,42.8251,53.26,47,25,7.43,IQ,2022-01-31 06:48:58,scattered clouds
531,Bushehr,28.9684,50.8385,62.62,41,0,9.22,IR,2022-01-31 06:48:58,clear sky
